"GJ 1187","(-0.5,6.7,8.9)",

"A(-1,1,1)",,
"NN 3417","(-6.3,3.1,3.2)",
"Gl 424","(-4.4,4.1,6.8)",
"Gl 226","(-5.6,6.4,4)",
"NN 3512","(-7.4,3.1,6)",
"NN 3526","(-6.7,4.5,6.1)",
"Gl 487","(-3.5,5.4,7.9)",
"BD+63�869","(-6.4,3.8,7.3)",
"NN 3412","(-8.8,4.1,4.3)",
"Gl 325","(-7.4,5.5,6.6)",
"Gl 325 B","(-7.4,5.5,6.6)",
"NN 3550","(-7,6,6.8)",
"Gl 277.1","(-9,4.5,5.5)",
"Gl 362","(-7,5.5,7.3)",
"Gl 360","(-7.1,5.6,7.5)",

"A(1,1,1)",,
"BD+18�3421","(5.5,5,3.3)",
"Gl 695 B","(4.6,6,3.6)",
"Gl 695 C","(4.6,6,3.6)",
"86 Mu Herculis","(4.6,6,3.6)",
"BD+33�2777","(4.3,6.2,6.3)",
"NN 3959","(3.1,6.6,6.8)",
"NN 3976","(6,5.4,5.9)",
"BD+05�3409","(8.2,4.5,3.5)",
"Gl 609","(5.7,4,7.2)",
"BD+25�3173","(5.8,6.1,6)",
"BD+03�3465","(9,4.8,3.2)",
"Gl 635 B","(5,6.5,7)",
"40 Zeta Herculis","(5,6.5,7)",
"NN 3928","(3.9,5.8,8.3)",
"41 Gamma Serpentis","(6.9,3.6,8)",
"NN 3966","(4.7,7.2,7.7)",
"Gl 669 B","(6.8,7.8,6.2)",
"NN 3992","(4.5,8.7,6.9)",
"Gl 669","(6.8,7.8,6.2)",

"A(0,-1,1)",,
"BD+01�2447","(-2.1,-4.5,5.3)",
"BD-03�2870","(-2.5,-5.4,5.1)",
"GJ 1154","(0.9,-3.9,7.5)",
"NN 3707","(1.9,-5.8,6.5)",
"Gl 465","(2.6,-5.8,6.2)",
"Gl 357","(-2.3,-8,3.4)",
"Gl 433","(2.1,-7.7,4.2)",
"Gl 442 B","(2.9,-8.1,3.3)",
"Gl 442","(2.9,-8.1,3.3)",
"Gl 432 B","(2.2,-8.2,4.4)",
"Gl 432","(2.2,-8.2,4.4)",
"GJ 1129","(-2.7,-8.8,4.5)",
"Gl 453","(2.7,-8,5.7)",
"Gl 413.1","(0.8,-9,5.8)",
"GJ 1140","(-1.4,-8.3,8.6)",

"A(-1,-1,1)",,
"NN 3517","(-4.8,-6.1,3.6)",
"GJ 2069 B","(-6.8,-3.2,4.4)",
"GJ 1125","(-4.7,-6.4,5.5)",
"NN 3571","(-5.7,-3.5,7.7)",
"Gl 352 B","(-3.8,-8.6,4.7)",
"Gl 352","(-3.8,-8.6,4.7)",
"Gl 361","(-6.3,-5.4,7.8)",
"Gl 359","(-7.3,-4,8.8)",

"A(1,-1,1)",,
"61 Virginis","(4.1,-4.6,5.9)",
"NN 3820","(5.5,-4,5.8)",
"Gl 553.1","(7.4,-3.1,7.7)",
"NN 3804","(6.5,-5.3,7.8)",
"Gl 540.2","(7.1,-3.7,8.4)",
"NN 3800","(6.6,-5.5,8.6)",

"A(0,0,-1)",,
"52 Tau Ceti","(-1,0.1,-3.5)",
"GJ 1061","(-0.8,-2.5,-3.4)",
"Gl 1","(1,-0.3,-4.2)",
"Van Maanen's Star","(-1.3,2,-3.7)",
"Hip 15689","(-2.5,-0.9,-3.5)",
"Gl 83.1","(-2.6,1.6,-3.2)",
"Hip 114110","(1.2,1.7,-4.1)",
"GJ 1002","(-0.1,1.8,-4.3)",
"Gl 876","(1.5,1.9,-4.1)",
"GJ 1005","(0.1,1.2,-5.1)",
"Hip 114176","(2.6,0.6,-6.2)",
"GJ 2005","(0.7,0.4,-7.5)",
"Gl 915","(2.2,-1.2,-7.4)",
"Gl 884","(2.8,2.1,-7.3)",
"NN 4360","(1.2,2.6,-8.5)",
"NN 3135","(-1.8,-2,-9.1)",

"A(-1,0,-1)",,
"Gl 166 B","(-3.7,-1.4,-3.1)",
"Gl 166 C","(-3.7,-1.4,-3.1)",
"40 Omicron 2 Eridani","(-3.7,-1.4,-3.1)",
"Gl 105 B","(-4.7,1.4,-5.3)",
"Gl 105","(-4.7,1.4,-5.3)",
"NN 3193 B","(-3.8,-1.4,-6.5)",
"Gl 109","(-5.8,3,-3.9)",
"1 Pi 3 Orionis","(-7.2,-1.5,-3.1)",
"NN 3146","(-5.4,2.8,-5.9)",
"GJ 1057","(-6.2,0.5,-5.8)",
"GJ 1054 B","(-3.2,-3,-7.5)",
"NN 3128","(-5.1,2.9,-6.7)",
"23 Delta Eridani","(-6,-2,-6.5)",
"96 Kappa 1 Ceti","(-6.7,0.2,-6.3)",
"Gl 84","(-3.1,-0.4,-8.9)",
"GJ 1065","(-6.8,-1.8,-6.4)",
"NN 3253","(-8.5,1,-4.5)",
"NN 3275","(-9,0.6,-3.5)",
"NN 3119","(-4,1.5,-9)",
"Gl 87","(-5.7,2.3,-8.4)",
"Gl 117","(-5.3,-1.1,-8.8)",
"GJ 1041 B","(-5.5,2.7,-8.8)",
"NN 3192","(-5.3,-2,-9.1)",
"GJ 1055","(-8.9,1.6,-7.6)",

"A(1,0,-1)",,
"Gl 832","(3.3,-0.6,-3.6)",
"Hip 103039","(3.9,2.3,-3.1)",
"Gl 783 B","(5.2,0.5,-3.1)",
"Delta Pavonis","(4.5,-2.6,-3.3)",
"Gl 783","(5.2,0.5,-3.1)",
"Gl 784","(5.2,-0.5,-3.4)",
"NN 4285","(3.7,-2.9,-4.9)",
"NN 4274","(3.3,2.8,-6.1)",
"Gl 879","(3.1,0.9,-6.9)",
"Fomalhaut","(3.1,1.1,-7)",
"Gl 867 B","(3.5,2.7,-7.4)",
"Gl 867","(3.5,2.7,-7.4)",
"Gl 785","(7.4,2.1,-4.3)",
"Gl 803","(7.8,1.7,-6)",
"NN 4248","(6,0.7,-8)",
"Gl 799 B","(8.1,1.6,-6.1)",
"Gl 799","(8.1,1.6,-6.1)",

"A(0,1,-1)",,
"Gl 908","(-0.2,3.3,-5)",
"Gl 896 B","(-0.7,4.8,-3.9)",
"Gl 896","(-0.7,4.8,-3.9)",
"BD+15�4733","(0.3,5.4,-4.3)",
"GJ 1286","(0.4,3.7,-6.2)",
"BD+04�123","(-2.1,3.4,-6.3)",
"GJ 1276","(2,4.1,-6.6)",
"GJ 1289","(-2.3,7,-3.3)",
"NN 4247","(1,8.3,-3.2)",
"NN 3010","(-2.7,7.6,-7)",
"Hip 109119","(3,8.2,-6.2)",
"NN 4333","(-0.6,8.1,-7)",
"Gl 12","(-2.6,7.2,-8.7)",

"A(-1,1,-1)",,
"107 Piscium","(-4.2,3.7,-4.9)",
"NN 3076","(-3.7,4.4,-6.2)",
"Gl 102","(-7.2,4.1,-5.2)",
"NN 3079","(-3.1,3.1,-9.1)",
"NN 3147","(-7.4,5.8,-4.2)",
"8 Delta Trianguli","(-7.8,6,-4.6)",
"NN 3140","(-6.7,3.6,-8.1)",
"54 Piscium","(-4.1,7.3,-7.4)",
"NN 3060","(-5.1,8,-7.4)",

"A(1,1,-1)",,
"Gl 831 B","(4.5,4.2,-5.1)",
"Gl 831","(4.5,4.2,-5.1)",
"BD-05�5715","(3.5,5.1,-6.2)",
"Gl 852","(4.1,5.3,-7.7)",
"Gl 852 B","(4.1,5.3,-7.7)",
"BD+00�4810","(3.8,6.9,-6.7)",
"GJ 1265","(4.9,4,-8.3)",
"NN 4281","(4.3,4.8,-8.8)",
"49 Delta Capricorni","(6.5,5,-8.5)",
"Gl 821","(7.9,5.8,-7.2)",
"GJ 1263","(5.3,8,-7.5)",

"A(0,-1,-1)",,
"82 Eridani","(-1.1,-3.2,-5)",
"Gl 66","(1.4,-3.9,-7)",
"GJ 2034","(-1.4,-5.6,-5.7)",
"Gl 54","(2.6,-4.6,-6.2)",
"p Eridani","(1.4,-3.9,-7)",
"Hip 31292","(2.1,-7.1,-3.8)",
"Hip 31293","(2.2,-7.5,-4)",
"Alpha Mensae","(2.4,-8.6,-4.9)",
"Gl 127.1B","(2,-7,-7)",
"Gl 127.1","(2,-7,-7)",
"GJ 2036 B","(-0.8,-8.2,-6.6)",
"Gl 145","(-2,-6.2,-8.7)",
"NN 3210","(-0.1,-6.7,-8.7)",
"GJ 2036","(-0.9,-8.7,-7)",
"Gl 118","(1.7,-7.4,-8.6)",
"Zeta 1 Reticuli","(1.3,-8.1,-8.9)",
"Zeta 2 Reticuli","(1.3,-8.1,-8.9)",

"A(-1,-1,-1)",,
"Hip 20968","(-4.1,-4.6,-5.6)",
"Gl 185 B","(-5.3,-4.8,-4.6)",
"BD-21�1051","(-5.3,-4.8,-4.6)",
"Gl 183","(-7.1,-3.3,-4)",
"Gl 216 B","(-5.6,-6,-3.7)",
"13 Gamma Leporis","(-5.6,-6,-3.7)",
"NN 3325","(-6.3,-4.8,-4.8)",
"Gl 190","(-6.2,-5,-4.7)",
"NN 3306","(-7.2,-3.4,-5.3)",
"BD-11�916","(-8.1,-4.2,-6.3)",
"Hip 29052","(-6.6,-8.4,-4)",
"NN 3331","(-7.5,-6.9,-6.4)",
"NN 3332 B","(-7.5,-6.9,-6.4)",

"A(1,-1,-1)",,
"Beta Hydri","(3.3,-4.7,-4.8)",
"Zeta Tucanae","(3.3,-4.2,-6.8)",
"Gl 877","(4.4,-4.9,-5.5)",
"Gamma Pavonis","(6,-3.7,-6)",
"Hip 76362","(6,-7.3,-3.4)",
"Hip 117828","(4.7,-6.1,-6.7)",
"GJ 1277","(5.7,-3.9,-8.7)",
"Gl 902","(5.3,-6.3,-7.8)",
"Gl 842","(7.3,-3.8,-8.6)",

